排出年,特定排出者コード,事業者・事業所名,区分,業種,所在地,温室効果ガス算定排出量(tCO2)
year,code,name,type,sector,location,tCO2
2023,982404631,株式会社ＴＫＣ,特定事業所排出者,情報サービス業,栃木県宇都宮市,3839
2023,600019994,中国塗料株式会社,特定荷主,化学工業,広島県大竹市,3837
2023,500032634,日本電気硝子株式会社,特定荷主,窯業・土石製品製造業,滋賀県大津市,3835
2023,580715256,株式会社フレンドリー,特定事業所排出者,飲食店,大阪府大東市,3828
2023,270085439,株式会社朝日ラバー,特定事業所排出者,ゴム製品製造業,埼玉県さいたま市,3826
2023,985762859,前澤工業株式会社,特定事業所排出者,はん用機械器具製造業,埼玉県川口市,3818
2023,985721801,ブルドックソース株式会社,特定事業所排出者,食料品製造業,東京都中央区,3781
2023,840203313,タカノフーズ九州株式会社,特定事業所排出者,食料品製造業,佐賀県神埼市,3759
2023,983134075,株式会社魚力,特定事業所排出者,飲食料品小売業,東京都立川市,3735
2023,580017431,イオン株式会社,特定事業所排出者,各種商品小売業,千葉県千葉市,3723
2023,985655705,日本信号株式会社,特定事業所排出者,情報通信機械器具製造業,東京都千代田区,3691
2023,400077231,竹田印刷株式会社,特定事業所排出者,印刷・同関連業,愛知県名古屋市,3683
